1.png	grinning face	😀️	\U0001F600\U0000FE0F	U+1F600	grinning face
1306.png	woman judge: medium-light skin tone	👩🏼‍⚖️️	\U0001F469\U0001F3FC\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FC U+200D U+2696 U+FE0F	woman judge: medium-light skin tone
1307.png	woman judge: medium skin tone	👩🏽‍⚖️️	\U0001F469\U0001F3FD\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FD U+200D U+2696 U+FE0F	woman judge: medium skin tone
1308.png	woman judge: medium-dark skin tone	👩🏾‍⚖️️	\U0001F469\U0001F3FE\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FE U+200D U+2696 U+FE0F	woman judge: medium-dark skin tone
1309.png	woman judge: dark skin tone	👩🏿‍⚖️️	\U0001F469\U0001F3FF\U0000200D\U00002696\U0000FE0F\U0000FE0F	U+1F469 U+1F3FF U+200D U+2696 U+FE0F	woman judge: dark skin tone
1310.png	farmer: light skin tone	🧑🏻‍🌾️	\U0001F9D1\U0001F3FB\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F33E	farmer: light skin tone
1311.png	farmer: medium-light skin tone	🧑🏼‍🌾️	\U0001F9D1\U0001F3FC\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F33E	farmer: medium-light skin tone
1312.png	farmer: medium skin tone	🧑🏽‍🌾️	\U0001F9D1\U0001F3FD\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F33E	farmer: medium skin tone
1313.png	farmer: medium-dark skin tone	🧑🏾‍🌾️	\U0001F9D1\U0001F3FE\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F33E	farmer: medium-dark skin tone
1314.png	farmer: dark skin tone	🧑🏿‍🌾️	\U0001F9D1\U0001F3FF\U0000200D\U0001F33E\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F33E	farmer: dark skin tone
1315.png	man farmer: light skin tone	👨🏻‍🌾️	\U0001F468\U0001F3FB\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F33E	man farmer: light skin tone
1316.png	man farmer: medium-light skin tone	👨🏼‍🌾️	\U0001F468\U0001F3FC\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F33E	man farmer: medium-light skin tone
1317.png	man farmer: medium skin tone	👨🏽‍🌾️	\U0001F468\U0001F3FD\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F33E	man farmer: medium skin tone
1318.png	man farmer: medium-dark skin tone	👨🏾‍🌾️	\U0001F468\U0001F3FE\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F33E	man farmer: medium-dark skin tone
1319.png	man farmer: dark skin tone	👨🏿‍🌾️	\U0001F468\U0001F3FF\U0000200D\U0001F33E\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F33E	man farmer: dark skin tone
1320.png	woman farmer: light skin tone	👩🏻‍🌾️	\U0001F469\U0001F3FB\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F33E	woman farmer: light skin tone
1321.png	woman farmer: medium-light skin tone	👩🏼‍🌾️	\U0001F469\U0001F3FC\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F33E	woman farmer: medium-light skin tone
1322.png	woman farmer: medium skin tone	👩🏽‍🌾️	\U0001F469\U0001F3FD\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F33E	woman farmer: medium skin tone
1323.png	woman farmer: medium-dark skin tone	👩🏾‍🌾️	\U0001F469\U0001F3FE\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F33E	woman farmer: medium-dark skin tone
1324.png	woman farmer: dark skin tone	👩🏿‍🌾️	\U0001F469\U0001F3FF\U0000200D\U0001F33E\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F33E	woman farmer: dark skin tone
1325.png	cook: light skin tone	🧑🏻‍🍳️	\U0001F9D1\U0001F3FB\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F373	cook: light skin tone
1326.png	cook: medium-light skin tone	🧑🏼‍🍳️	\U0001F9D1\U0001F3FC\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F373	cook: medium-light skin tone
1327.png	cook: medium skin tone	🧑🏽‍🍳️	\U0001F9D1\U0001F3FD\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F373	cook: medium skin tone
1328.png	cook: medium-dark skin tone	🧑🏾‍🍳️	\U0001F9D1\U0001F3FE\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F373	cook: medium-dark skin tone
1329.png	cook: dark skin tone	🧑🏿‍🍳️	\U0001F9D1\U0001F3FF\U0000200D\U0001F373\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F373	cook: dark skin tone
1330.png	man cook: light skin tone	👨🏻‍🍳️	\U0001F468\U0001F3FB\U0000200D\U0001F373\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F373	man cook: light skin tone
1331.png	man cook: medium-light skin tone	👨🏼‍🍳️	\U0001F468\U0001F3FC\U0000200D\U0001F373\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F373	man cook: medium-light skin tone
1332.png	man cook: medium skin tone	👨🏽‍🍳️	\U0001F468\U0001F3FD\U0000200D\U0001F373\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F373	man cook: medium skin tone
1333.png	man cook: medium-dark skin tone	👨🏾‍🍳️	\U0001F468\U0001F3FE\U0000200D\U0001F373\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F373	man cook: medium-dark skin tone
1334.png	man cook: dark skin tone	👨🏿‍🍳️	\U0001F468\U0001F3FF\U0000200D\U0001F373\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F373	man cook: dark skin tone
1335.png	woman cook: light skin tone	👩🏻‍🍳️	\U0001F469\U0001F3FB\U0000200D\U0001F373\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F373	woman cook: light skin tone
1336.png	woman cook: medium-light skin tone	👩🏼‍🍳️	\U0001F469\U0001F3FC\U0000200D\U0001F373\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F373	woman cook: medium-light skin tone
1337.png	woman cook: medium skin tone	👩🏽‍🍳️	\U0001F469\U0001F3FD\U0000200D\U0001F373\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F373	woman cook: medium skin tone
1338.png	woman cook: medium-dark skin tone	👩🏾‍🍳️	\U0001F469\U0001F3FE\U0000200D\U0001F373\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F373	woman cook: medium-dark skin tone
1339.png	woman cook: dark skin tone	👩🏿‍🍳️	\U0001F469\U0001F3FF\U0000200D\U0001F373\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F373	woman cook: dark skin tone
1340.png	mechanic: light skin tone	🧑🏻‍🔧️	\U0001F9D1\U0001F3FB\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F527	mechanic: light skin tone
1341.png	mechanic: medium-light skin tone	🧑🏼‍🔧️	\U0001F9D1\U0001F3FC\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F527	mechanic: medium-light skin tone
1342.png	mechanic: medium skin tone	🧑🏽‍🔧️	\U0001F9D1\U0001F3FD\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F527	mechanic: medium skin tone
1343.png	mechanic: medium-dark skin tone	🧑🏾‍🔧️	\U0001F9D1\U0001F3FE\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F527	mechanic: medium-dark skin tone
1344.png	mechanic: dark skin tone	🧑🏿‍🔧️	\U0001F9D1\U0001F3FF\U0000200D\U0001F527\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F527	mechanic: dark skin tone
1345.png	man mechanic: light skin tone	👨🏻‍🔧️	\U0001F468\U0001F3FB\U0000200D\U0001F527\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F527	man mechanic: light skin tone
1346.png	man mechanic: medium-light skin tone	👨🏼‍🔧️	\U0001F468\U0001F3FC\U0000200D\U0001F527\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F527	man mechanic: medium-light skin tone
1347.png	man mechanic: medium skin tone	👨🏽‍🔧️	\U0001F468\U0001F3FD\U0000200D\U0001F527\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F527	man mechanic: medium skin tone
1348.png	man mechanic: medium-dark skin tone	👨🏾‍🔧️	\U0001F468\U0001F3FE\U0000200D\U0001F527\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F527	man mechanic: medium-dark skin tone
1349.png	man mechanic: dark skin tone	👨🏿‍🔧️	\U0001F468\U0001F3FF\U0000200D\U0001F527\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F527	man mechanic: dark skin tone
1350.png	woman mechanic: light skin tone	👩🏻‍🔧️	\U0001F469\U0001F3FB\U0000200D\U0001F527\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F527	woman mechanic: light skin tone
1351.png	woman mechanic: medium-light skin tone	👩🏼‍🔧️	\U0001F469\U0001F3FC\U0000200D\U0001F527\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F527	woman mechanic: medium-light skin tone
1352.png	woman mechanic: medium skin tone	👩🏽‍🔧️	\U0001F469\U0001F3FD\U0000200D\U0001F527\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F527	woman mechanic: medium skin tone
1353.png	woman mechanic: medium-dark skin tone	👩🏾‍🔧️	\U0001F469\U0001F3FE\U0000200D\U0001F527\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F527	woman mechanic: medium-dark skin tone
1354.png	woman mechanic: dark skin tone	👩🏿‍🔧️	\U0001F469\U0001F3FF\U0000200D\U0001F527\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F527	woman mechanic: dark skin tone
1355.png	factory worker: light skin tone	🧑🏻‍🏭️	\U0001F9D1\U0001F3FB\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F3ED	factory worker: light skin tone
1356.png	factory worker: medium-light skin tone	🧑🏼‍🏭️	\U0001F9D1\U0001F3FC\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F3ED	factory worker: medium-light skin tone
1357.png	factory worker: medium skin tone	🧑🏽‍🏭️	\U0001F9D1\U0001F3FD\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F3ED	factory worker: medium skin tone
1358.png	factory worker: medium-dark skin tone	🧑🏾‍🏭️	\U0001F9D1\U0001F3FE\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F3ED	factory worker: medium-dark skin tone
1359.png	factory worker: dark skin tone	🧑🏿‍🏭️	\U0001F9D1\U0001F3FF\U0000200D\U0001F3ED\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F3ED	factory worker: dark skin tone
1360.png	man factory worker: light skin tone	👨🏻‍🏭️	\U0001F468\U0001F3FB\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F3ED	man factory worker: light skin tone
1361.png	man factory worker: medium-light skin tone	👨🏼‍🏭️	\U0001F468\U0001F3FC\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F3ED	man factory worker: medium-light skin tone
1362.png	man factory worker: medium skin tone	👨🏽‍🏭️	\U0001F468\U0001F3FD\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F3ED	man factory worker: medium skin tone
1363.png	man factory worker: medium-dark skin tone	👨🏾‍🏭️	\U0001F468\U0001F3FE\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F3ED	man factory worker: medium-dark skin tone
1364.png	man factory worker: dark skin tone	👨🏿‍🏭️	\U0001F468\U0001F3FF\U0000200D\U0001F3ED\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F3ED	man factory worker: dark skin tone
1365.png	woman factory worker: light skin tone	👩🏻‍🏭️	\U0001F469\U0001F3FB\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F3ED	woman factory worker: light skin tone
1366.png	woman factory worker: medium-light skin tone	👩🏼‍🏭️	\U0001F469\U0001F3FC\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F3ED	woman factory worker: medium-light skin tone
1367.png	woman factory worker: medium skin tone	👩🏽‍🏭️	\U0001F469\U0001F3FD\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F3ED	woman factory worker: medium skin tone
1368.png	woman factory worker: medium-dark skin tone	👩🏾‍🏭️	\U0001F469\U0001F3FE\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F3ED	woman factory worker: medium-dark skin tone
1369.png	woman factory worker: dark skin tone	👩🏿‍🏭️	\U0001F469\U0001F3FF\U0000200D\U0001F3ED\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F3ED	woman factory worker: dark skin tone
1370.png	office worker: light skin tone	🧑🏻‍💼️	\U0001F9D1\U0001F3FB\U0000200D\U0001F4BC\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F4BC	office worker: light skin tone
1371.png	office worker: medium-light skin tone	🧑🏼‍💼️	\U0001F9D1\U0001F3FC\U0000200D\U0001F4BC\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F4BC	office worker: medium-light skin tone
1372.png	office worker: medium skin tone	🧑🏽‍💼️	\U0001F9D1\U0001F3FD\U0000200D\U0001F4BC\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F4BC	office worker: medium skin tone
1373.png	office worker: medium-dark skin tone	🧑🏾‍💼️	\U0001F9D1\U0001F3FE\U0000200D\U0001F4BC\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F4BC	office worker: medium-dark skin tone
1374.png	office worker: dark skin tone	🧑🏿‍💼️	\U0001F9D1\U0001F3FF\U0000200D\U0001F4BC\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F4BC	office worker: dark skin tone
1375.png	man office worker: light skin tone	👨🏻‍💼️	\U0001F468\U0001F3FB\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F4BC	man office worker: light skin tone
1376.png	man office worker: medium-light skin tone	👨🏼‍💼️	\U0001F468\U0001F3FC\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F4BC	man office worker: medium-light skin tone
1377.png	man office worker: medium skin tone	👨🏽‍💼️	\U0001F468\U0001F3FD\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F4BC	man office worker: medium skin tone
1378.png	man office worker: medium-dark skin tone	👨🏾‍💼️	\U0001F468\U0001F3FE\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F4BC	man office worker: medium-dark skin tone
1379.png	man office worker: dark skin tone	👨🏿‍💼️	\U0001F468\U0001F3FF\U0000200D\U0001F4BC\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F4BC	man office worker: dark skin tone
1380.png	woman office worker: light skin tone	👩🏻‍💼️	\U0001F469\U0001F3FB\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F4BC	woman office worker: light skin tone
1381.png	woman office worker: medium-light skin tone	👩🏼‍💼️	\U0001F469\U0001F3FC\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F4BC	woman office worker: medium-light skin tone
1382.png	woman office worker: medium skin tone	👩🏽‍💼️	\U0001F469\U0001F3FD\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F4BC	woman office worker: medium skin tone
1383.png	woman office worker: medium-dark skin tone	👩🏾‍💼️	\U0001F469\U0001F3FE\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F4BC	woman office worker: medium-dark skin tone
1384.png	woman office worker: dark skin tone	👩🏿‍💼️	\U0001F469\U0001F3FF\U0000200D\U0001F4BC\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F4BC	woman office worker: dark skin tone
1385.png	scientist: light skin tone	🧑🏻‍🔬️	\U0001F9D1\U0001F3FB\U0000200D\U0001F52C\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F52C	scientist: light skin tone
1386.png	scientist: medium-light skin tone	🧑🏼‍🔬️	\U0001F9D1\U0001F3FC\U0000200D\U0001F52C\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F52C	scientist: medium-light skin tone
1387.png	scientist: medium skin tone	🧑🏽‍🔬️	\U0001F9D1\U0001F3FD\U0000200D\U0001F52C\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F52C	scientist: medium skin tone
1388.png	scientist: medium-dark skin tone	🧑🏾‍🔬️	\U0001F9D1\U0001F3FE\U0000200D\U0001F52C\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F52C	scientist: medium-dark skin tone
1389.png	scientist: dark skin tone	🧑🏿‍🔬️	\U0001F9D1\U0001F3FF\U0000200D\U0001F52C\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F52C	scientist: dark skin tone
1390.png	man scientist: light skin tone	👨🏻‍🔬️	\U0001F468\U0001F3FB\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F52C	man scientist: light skin tone
1391.png	man scientist: medium-light skin tone	👨🏼‍🔬️	\U0001F468\U0001F3FC\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F52C	man scientist: medium-light skin tone
1392.png	man scientist: medium skin tone	👨🏽‍🔬️	\U0001F468\U0001F3FD\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F52C	man scientist: medium skin tone
1393.png	man scientist: medium-dark skin tone	👨🏾‍🔬️	\U0001F468\U0001F3FE\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F52C	man scientist: medium-dark skin tone
1394.png	man scientist: dark skin tone	👨🏿‍🔬️	\U0001F468\U0001F3FF\U0000200D\U0001F52C\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F52C	man scientist: dark skin tone
1395.png	woman scientist: light skin tone	👩🏻‍🔬️	\U0001F469\U0001F3FB\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F52C	woman scientist: light skin tone
1396.png	woman scientist: medium-light skin tone	👩🏼‍🔬️	\U0001F469\U0001F3FC\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F52C	woman scientist: medium-light skin tone
1397.png	woman scientist: medium skin tone	👩🏽‍🔬️	\U0001F469\U0001F3FD\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F52C	woman scientist: medium skin tone
1398.png	woman scientist: medium-dark skin tone	👩🏾‍🔬️	\U0001F469\U0001F3FE\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F52C	woman scientist: medium-dark skin tone
1399.png	woman scientist: dark skin tone	👩🏿‍🔬️	\U0001F469\U0001F3FF\U0000200D\U0001F52C\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F52C	woman scientist: dark skin tone
1400.png	technologist: light skin tone	🧑🏻‍💻️	\U0001F9D1\U0001F3FB\U0000200D\U0001F4BB\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F4BB	technologist: light skin tone
1401.png	technologist: medium-light skin tone	🧑🏼‍💻️	\U0001F9D1\U0001F3FC\U0000200D\U0001F4BB\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F4BB	technologist: medium-light skin tone
1402.png	technologist: medium skin tone	🧑🏽‍💻️	\U0001F9D1\U0001F3FD\U0000200D\U0001F4BB\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F4BB	technologist: medium skin tone
1403.png	technologist: medium-dark skin tone	🧑🏾‍💻️	\U0001F9D1\U0001F3FE\U0000200D\U0001F4BB\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F4BB	technologist: medium-dark skin tone
1404.png	technologist: dark skin tone	🧑🏿‍💻️	\U0001F9D1\U0001F3FF\U0000200D\U0001F4BB\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F4BB	technologist: dark skin tone
1405.png	man technologist: light skin tone	👨🏻‍💻️	\U0001F468\U0001F3FB\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F4BB	man technologist: light skin tone
1406.png	man technologist: medium-light skin tone	👨🏼‍💻️	\U0001F468\U0001F3FC\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F4BB	man technologist: medium-light skin tone
1407.png	man technologist: medium skin tone	👨🏽‍💻️	\U0001F468\U0001F3FD\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F4BB	man technologist: medium skin tone
1408.png	man technologist: medium-dark skin tone	👨🏾‍💻️	\U0001F468\U0001F3FE\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F4BB	man technologist: medium-dark skin tone
1409.png	man technologist: dark skin tone	👨🏿‍💻️	\U0001F468\U0001F3FF\U0000200D\U0001F4BB\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F4BB	man technologist: dark skin tone
1410.png	woman technologist: light skin tone	👩🏻‍💻️	\U0001F469\U0001F3FB\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F4BB	woman technologist: light skin tone
1411.png	woman technologist: medium-light skin tone	👩🏼‍💻️	\U0001F469\U0001F3FC\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F4BB	woman technologist: medium-light skin tone
1412.png	woman technologist: medium skin tone	👩🏽‍💻️	\U0001F469\U0001F3FD\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F4BB	woman technologist: medium skin tone
1413.png	woman technologist: medium-dark skin tone	👩🏾‍💻️	\U0001F469\U0001F3FE\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F4BB	woman technologist: medium-dark skin tone
1414.png	woman technologist: dark skin tone	👩🏿‍💻️	\U0001F469\U0001F3FF\U0000200D\U0001F4BB\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F4BB	woman technologist: dark skin tone
1415.png	singer: light skin tone	🧑🏻‍🎤️	\U0001F9D1\U0001F3FB\U0000200D\U0001F3A4\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F3A4	singer: light skin tone
1416.png	singer: medium-light skin tone	🧑🏼‍🎤️	\U0001F9D1\U0001F3FC\U0000200D\U0001F3A4\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F3A4	singer: medium-light skin tone
1417.png	singer: medium skin tone	🧑🏽‍🎤️	\U0001F9D1\U0001F3FD\U0000200D\U0001F3A4\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F3A4	singer: medium skin tone
1418.png	singer: medium-dark skin tone	🧑🏾‍🎤️	\U0001F9D1\U0001F3FE\U0000200D\U0001F3A4\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F3A4	singer: medium-dark skin tone
1419.png	singer: dark skin tone	🧑🏿‍🎤️	\U0001F9D1\U0001F3FF\U0000200D\U0001F3A4\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F3A4	singer: dark skin tone
1420.png	man singer: light skin tone	👨🏻‍🎤️	\U0001F468\U0001F3FB\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F3A4	man singer: light skin tone
1421.png	man singer: medium-light skin tone	👨🏼‍🎤️	\U0001F468\U0001F3FC\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F3A4	man singer: medium-light skin tone
1422.png	man singer: medium skin tone	👨🏽‍🎤️	\U0001F468\U0001F3FD\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F3A4	man singer: medium skin tone
1423.png	man singer: medium-dark skin tone	👨🏾‍🎤️	\U0001F468\U0001F3FE\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F3A4	man singer: medium-dark skin tone
1424.png	man singer: dark skin tone	👨🏿‍🎤️	\U0001F468\U0001F3FF\U0000200D\U0001F3A4\U0000FE0F	U+1F468 U+1F3FF U+200D U+1F3A4	man singer: dark skin tone
1425.png	woman singer: light skin tone	👩🏻‍🎤️	\U0001F469\U0001F3FB\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+1F3FB U+200D U+1F3A4	woman singer: light skin tone
1426.png	woman singer: medium-light skin tone	👩🏼‍🎤️	\U0001F469\U0001F3FC\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+1F3FC U+200D U+1F3A4	woman singer: medium-light skin tone
1427.png	woman singer: medium skin tone	👩🏽‍🎤️	\U0001F469\U0001F3FD\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+1F3FD U+200D U+1F3A4	woman singer: medium skin tone
1428.png	woman singer: medium-dark skin tone	👩🏾‍🎤️	\U0001F469\U0001F3FE\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+1F3FE U+200D U+1F3A4	woman singer: medium-dark skin tone
1429.png	woman singer: dark skin tone	👩🏿‍🎤️	\U0001F469\U0001F3FF\U0000200D\U0001F3A4\U0000FE0F	U+1F469 U+1F3FF U+200D U+1F3A4	woman singer: dark skin tone
1430.png	artist: light skin tone	🧑🏻‍🎨️	\U0001F9D1\U0001F3FB\U0000200D\U0001F3A8\U0000FE0F	U+1F9D1 U+1F3FB U+200D U+1F3A8	artist: light skin tone
1431.png	artist: medium-light skin tone	🧑🏼‍🎨️	\U0001F9D1\U0001F3FC\U0000200D\U0001F3A8\U0000FE0F	U+1F9D1 U+1F3FC U+200D U+1F3A8	artist: medium-light skin tone
1432.png	artist: medium skin tone	🧑🏽‍🎨️	\U0001F9D1\U0001F3FD\U0000200D\U0001F3A8\U0000FE0F	U+1F9D1 U+1F3FD U+200D U+1F3A8	artist: medium skin tone
1433.png	artist: medium-dark skin tone	🧑🏾‍🎨️	\U0001F9D1\U0001F3FE\U0000200D\U0001F3A8\U0000FE0F	U+1F9D1 U+1F3FE U+200D U+1F3A8	artist: medium-dark skin tone
1434.png	artist: dark skin tone	🧑🏿‍🎨️	\U0001F9D1\U0001F3FF\U0000200D\U0001F3A8\U0000FE0F	U+1F9D1 U+1F3FF U+200D U+1F3A8	artist: dark skin tone
1435.png	man artist: light skin tone	👨🏻‍🎨️	\U0001F468\U0001F3FB\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+1F3FB U+200D U+1F3A8	man artist: light skin tone
1436.png	man artist: medium-light skin tone	👨🏼‍🎨️	\U0001F468\U0001F3FC\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+1F3FC U+200D U+1F3A8	man artist: medium-light skin tone
1437.png	man artist: medium skin tone	👨🏽‍🎨️	\U0001F468\U0001F3FD\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+1F3FD U+200D U+1F3A8	man artist: medium skin tone
1438.png	man artist: medium-dark skin tone	👨🏾‍🎨️	\U0001F468\U0001F3FE\U0000200D\U0001F3A8\U0000FE0F	U+1F468 U+1F3FE U+200D U+1F3A8	man artist: medium-dark skin tone
